"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"253","apaebmet",2002,1,2950,-3.8,14.1,24,12.0236610169492,6.18254767180538,9.275,2950,42,100,100,93.191186440678,11.9705211959816,10,2950,1003,1018,1028,1017.63254237288,3.77502617590351,5,2949,0.2,2.2,12.1,2.36829433706341,1.84282001031178,2.7,0,NA,NA,NA,NA,NA,NA,2950,0,170,355,170.264406779661,107.269008276197,188,2950,206.2,31,1485.7,13558.8,19910.7,12322.9870967742,5712.42284672869,9384.25
"254","apaebmet",2002,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"255","apaebmet",2002,3,2975,-2.3,17.6,25.6,16.2006050420168,5.88524590292566,7.2,2975,19,95,100,84.4658823529412,19.8184283748171,26,2975,1005,1016,1033,1016.81546218487,4.96178024444669,6,2975,0.2,2.8,14.9,3.10638655462185,2.01823051792678,2.6,0,NA,NA,NA,NA,NA,NA,2975,0,149,355,141.224201680672,88.7997139193498,151,2975,129.8,31,4764.5,28981.6,33345.7,26156.2,7194.68508854511,7198.9
"256","apaebmet",2002,4,2758,8.5,21.4,30.4,21.6726250906454,3.57593735447476,4.1,2756,21,95,100,87.3196661828737,16.4147179994925,21,2758,1009,1016,1021,1015.96446700508,2.33257030115463,4,2758,0.2,2.8,12.2,3.06555474981871,1.9503771108649,2.6,0,NA,NA,NA,NA,NA,NA,2758,0,176,355,174.072516316171,99.2152807022331,156,2758,0.3,30,3783.4,32850.2,35434.4,29098.49,8083.59821807565,7946.075
"257","apaebmet",2002,5,2976,9.3,24.4,30.6,23.4875336021505,4.11136516601022,5.5,2975,27,89,100,84.7919327731092,17.0099085644238,23,2976,1005,1015,1021,1014.28427419355,3.87517433740688,6,2976,0.2,3.2,11.9,3.21320564516129,1.96117020615952,2.9,0,NA,NA,NA,NA,NA,NA,2976,0,147,355,149.353158602151,95.9824630871285,180,2976,48.2,31,15242.2,35702.7,41343.2,34165.9290322581,6732.55398399912,5617.85000000001
"258","apaebmet",2002,6,2874,19.8,25,33.1,25.5154140570633,2.75071026218542,4.175,2869,41,97,100,90.9383060299756,11.5124406689444,16,1279,1006,1011,1016,1010.62627052385,1.99517361907806,3,2874,0.2,2.3,10.6,2.60421016005567,1.65909186565377,2.3,0,NA,NA,NA,NA,NA,NA,2874,0,156.5,355,166.758524704245,104.828705878224,180.75,2874,243.1,30,10877.1,30253.1,38269.3,28391.7333333333,8624.79014602608,13748.625
"259","apaebmet",2002,7,2336,20.8,26.3,36.2,26.7482876712329,3.04533294422674,4.5,2334,46,96,100,90.7142245072836,11.3114045554039,18,0,NA,NA,NA,NA,NA,NA,2972,0.2,2,14.6,2.31584791386272,1.57965263419461,1.9,0,NA,NA,NA,NA,NA,NA,2972,0,201,355,187.00201884253,113.295591007472,203,2972,118.6,25,739.6,30857.8,36358.8,26688.348,8641.2332748341,10448
"260","apaebmet",2002,8,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2952,0,2.3,11.6,2.59779810298103,1.60899029691208,2.1,0,NA,NA,NA,NA,NA,NA,2952,0,123,355,155.194444444444,117.027832232658,217,2953,140.9,31,5895.3,47074.4,58399.9,42136.0806451613,13486.5750963052,15151.2
"261","apaebmet",2002,9,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2878,0.2,2.9,17.3,3.41139680333565,2.31705425460586,2.9,0,NA,NA,NA,NA,NA,NA,2878,0,99,355,130.156706045865,98.7693801252237,139,2878,210.6,30,7274.4,37264.9,50290.4,33868.8533333333,11356.3422479348,15477.825
"262","apaebmet",2002,10,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2361,1004,1017,1023,1016.03473104617,3.15000350108861,3,2976,0.2,2.5,9.1,2.68370295698925,1.59646453859655,2.2,0,NA,NA,NA,NA,NA,NA,2976,0,96,355,123.963709677419,99.1051764212857,128,2976,107.5,31,10469.7,32344.2,40212.4,30064.9580645161,9232.43209310794,12082.6
