"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"995","apacpnut",2002,4,0.00733333333333333,0.0646666666666667,0.003,0.0696666666666667,0.0726666666666667,1.6,0,0,0,0,0,0
"996","apacpnut",2002,6,0.008,0.052,0.002,0.026,0.028,2.6,0,0,0,0,0,0
"997","apacpnut",2002,7,0.0155,0.088,0.002,NA,0.0395,3.35,0,0,1,NA,0,0
"998","apacpnut",2002,8,0.011,0.04,0.003,0.036,0.039,7.8,0,0,0,0,0,0
"999","apacpnut",2002,9,0.026,0.039,0.003,0.013,0.016,0.8,0,0,0,0,0,0
"1000","apacpnut",2002,10,0.0095,0.0365,0.009,0.0195,0.0285,2.35,0,0,0,0,0,0
"1001","apacpnut",2002,11,0.0065,0.061,0.0055,0.097,0.1025,3.7,0,0,0,0,0,0
"1002","apacpnut",2002,12,0.0105,0.061,0.004,0.1095,0.1135,2.35,0,0,0,0,0,0
"1003","apacpnut",2003,1,0.014,0.237,0.003,0.237,0.24,13.243,0,0,0,0,0,0
"1004","apacpnut",2003,2,0.004,0.0375,0.002,NA,0.0955,14.952,0,0,1,NA,0,0
"1005","apacpnut",2003,3,0.015,0.0615,0.006,0.129,0.135,7.9035,0,0,0,0,0,0
"1006","apacpnut",2003,4,0.025,0.159,0.005,0.174,0.179,2.99,0,0,0,0,0,0
"1007","apacpnut",2003,5,0.0035,0.057,0.007,0.229,0.236,6.0875,0,0,0,0,0,0
"1008","apacpnut",2003,6,0.0035,0.0565,0.009,0.221,0.23,4.4855,0,0,0,0,0,0
"1009","apacpnut",2003,7,0.001,0.034,0.002,0.049,0.051,8.117,1,0,0,0,0,0
"1010","apacpnut",2003,8,0.001,0.035,0.003,0.269,0.272,3.845,1,0,0,0,0,0
"1011","apacpnut",2003,9,0.0025,0.014,0.005,0.1385,0.1435,8.544,0,0,0,0,0,0
"1012","apacpnut",2003,10,0.0045,0.1245,0.002,0.0205,0.0225,1.282,0,0,0,0,0,0
"1013","apacpnut",2003,11,0.0035,0.017,0.002,0.026,0.0285,1.4955,0,0,1,0,0,0
"1014","apacpnut",2003,12,0.0015,0.004,0.002,0.177,0.179,2.136,0,1,0,0,0,0
"1015","apacpnut",2004,1,0.001,0.0065,0.002,NA,0.0175,1.05,1,0,1,NA,0,0
"1016","apacpnut",2004,2,0.001,0.005,0.002,0.0785,0.0805,2.6,1,0,0,0,0,0
"1017","apacpnut",2004,3,0.002,0.0305,0.003,0.284,0.287,1.9,0,0,0,0,0,0
"1018","apacpnut",2004,4,0.001,0.0205,0.002,0.097,0.101,2.6,0,0,1,0,0,0
"1019","apacpnut",2004,5,0.007,0.0855,0.0045,0.089,0.0935,3.6,0,0,0,0,0,0
"1020","apacpnut",2004,6,0.0065,0.0595,0.004,0.0365,0.0405,2.1,0,0,0,0,0,0
