"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"1214","apabpwq",2020,8,1017,26.6,28.4,29.4,28.2150442477876,0.681027927764006,1,1017,0.11,0.12,0.7,0.130049164208456,0.0494944674171872,0.02,1017,0.1,0.1,0.3,0.102064896755162,0.0189711684691482,0,1017,56.1,67.7,75.2,67.360668633235,3.61555676675003,4.8,1017,4.4,5.3,5.9,5.25968534906588,0.29591560051749,0.4,1017,2.4,2.94,3.32,2.90639134709931,0.189939526855422,0.23,1017,2.4,2.92,3.28,2.88675516224189,0.184783582809149,0.23,1017,6.7,7,7.1,6.94818092428712,0.0854534840883953,0.0999999999999996,1017,1,5,57,5.51425762045231,3.10067989504224,2,1017,0,1017,168,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1215","apabpwq",2020,9,2880,23.1,26.3,30.2,26.8512152777778,2.33816336059807,4.6,2880,0.06,0.11,35.01,0.791371527777778,4.23925816493607,0.02,2880,0,0.1,22,0.471423611111111,2.61447716610788,0.1,2880,48.4,64.7,78.9,62.1527083333333,6.93986372603598,11.8,2880,4,5,5.9,4.94725694444444,0.400441892879796,0.5,2880,2.41,3.08,3.71,3.07026736111111,0.27004926295465,0.41,2880,2.41,3.04,3.77,3.05179166666667,0.280218216832538,0.44,2880,6.2,6.9,7.9,6.79378472222222,0.267141576560035,0.3,2880,2,7,55,9.13194444444444,5.012587874968,5,2880,0,2880,1097,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1216","apabpwq",2020,10,2974,21.5,24.1,25.7,23.8876597175521,1.13334873334457,1.6,2974,0.09,0.12,0.14,0.11712508406187,0.0114815617074877,0.01,2974,0,0.1,0.1,0.0906186953597848,0.0291617477984074,0,2974,51.4,63.1,74.4,63.2989912575656,4.7017919226052,5.5,2974,4.2,5.3,6.3,5.34734364492266,0.413029472358768,0.5,2974,2.43,2.94,3.23,2.9047108271688,0.173640993204788,0.24,2974,2.35,2.9,3.26,2.86941156691325,0.183774813433466,0.25,2974,6.7,7.1,7.2,7.02895090786819,0.116394608790307,0.0999999999999996,2974,7,11,51,10.7582380632145,2.19002825007093,3,2974,0,2974,488,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1217","apabpwq",2020,11,2879,18.4,20,23.4,20.4840569642237,1.38355001264019,2.6,2879,0.11,0.13,5.2,0.155963876345953,0.202158350543895,0.01,2879,0.1,0.1,2.8,0.110559221952067,0.101925519640987,0,2879,60.5,74.9,84.8,75.7414727335881,4.88996675834408,8.2,2879,5.2,6.8,7.8,6.83931920805835,0.59718155078931,1.1,2879,2.27,2.81,3.2,2.78593608891976,0.193713618602545,0.29,2879,2.13,2.74,3.25,2.71240708579368,0.215238461174289,0.31,1642,6.9,7.3,7.4,7.28501827040195,0.0918741470608817,0,2879,5,9,55,9.15352552969781,2.17734734434196,2,2879,0,2879,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1218","apabpwq",2020,12,2975,11.1,14,19.1,14.0442352941176,1.54432804287152,1.9,2975,0.11,0.12,0.14,0.124978151260504,0.00567482375861156,0.01,2975,0.1,0.1,0.1,0.1,0,0,2975,74.5,86.7,96.2,86.4507899159664,3.66658128323319,3.69999999999999,2975,7,9,10.4,8.9210756302521,0.623208544313359,0.6,2975,2.23,2.68,3.15,2.66933109243697,0.19878562804167,0.31,2975,2.12,2.6,3.2,2.59198991596639,0.215703927089648,0.33,2975,7,7.3,7.5,7.33798319327731,0.0645399089861313,0.100000000000001,2975,7,10,28,9.98352941176471,1.23855798058733,2,2975,0,2975,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1219","apabpwq",2021,1,2976,10.1,13,16.5,12.8181115591398,1.73442590089679,3.4,2976,0.09,0.11,0.13,0.109200268817204,0.00915040780254755,0.02,2976,0,0.1,0.1,0.090255376344086,0.0296614279362889,0,2976,78.3,87.15,92,86.3844758064516,3.32529813067969,5.40000000000001,2976,7.9,9.2,10.1,9.16021505376344,0.595825664640167,1,2976,2.3,2.71,3.23,2.71267137096774,0.164445043412053,0.22,2976,2.19,2.64,3.19,2.64629704301075,0.182132460259913,0.25,2976,6.8,7.1,7.4,7.12436155913978,0.0822453532949449,0.100000000000001,2976,6,10,20,10.338373655914,1.59181284830592,2,2976,0,2976,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1220","apabpwq",2021,2,773,11.8,14.8,18.4,14.8635187580854,2.00994651959438,3.8,773,0.09,0.09,0.12,0.10235446313066,0.0144643064835298,0.03,773,0,0,0.1,0.0426908150064683,0.0494948982662528,0.1,773,79.2,87.3,98.2,87.8913324708926,3.973818449147,4.7,773,7.6,8.9,9.7,8.90556274256145,0.487786159147306,0.700000000000001,773,2.32,3.08,3.24,2.87143596377749,0.329345217248741,0.67,773,2.28,2.99,3.16,2.80249676584735,0.315671586987957,0.65,773,6.8,7,7.3,7.01319534282018,0.157725935911351,0.3,773,12,15,42,14.9754204398448,1.59522156774645,2,773,0,773,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1221","apabpwq",2021,3,2975,15.5,18.7,22.5,18.9393949579832,1.96460465647987,3.5,2975,0.09,0.11,0.13,0.11309243697479,0.0124469226829106,0.02,2975,0,0.1,0.1,0.0883025210084034,0.0321444272012791,0,2975,70.5,80.6,99.9,81.4272605042017,6.38704185751748,8.60000000000001,2975,6.3,7.5,9.6,7.59011764705882,0.807165592773382,1.3,2974,2.31,2.86,3.19,2.83652320107599,0.165807455533529,0.23,2974,2.24,2.77,3.14,2.75841627437794,0.167741613173006,0.2375,2975,6.8,7.1,7.2,7.05939495798319,0.0998568425942946,0.0999999999999996,2975,10,14,58,14.1549579831933,1.99710317864887,2,2975,0,2975,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1222","apabpwq",2021,4,2879,18.1,20.2,23.8,20.494720389024,1.26080868931292,1.5,2879,0,0.11,0.12,0.109027440083362,0.00827508363191299,0.02,2879,0,0.1,0.1,0.0924279263633206,0.0264596720344319,0,2879,68.6,74.8,100.7,76.3846127127475,4.81787586461392,6.85000000000001,2879,6.1,6.7,9.2,6.89107328933658,0.530245915497704,0.6,2878,2.46,2.89,3.1,2.84701528839472,0.133595581505319,0.17,2878,2.32,2.84,3.13,2.80419735927728,0.164612959547966,0.21,2879,6.7,6.9,7.2,6.94647447030219,0.132676666904097,0.2,2879,8,13,77,15.2924626606461,6.80314245032046,5,2879,0,2879,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1223","apabpwq",2021,5,2976,21.9,24,27.3,24.2951612903226,1.44102558279831,1.8,2976,0.1,0.11,0.14,0.116122311827957,0.0101161569494924,0.01,2976,0.1,0.1,0.1,0.1,0,0,2976,62.4,73.5,82.7,72.7890456989247,3.6731010821364,4.60000000000001,2976,5.2,6.1,6.8,6.10171370967742,0.319716923154652,0.3,2976,2.26,2.78,3.07,2.75813508064516,0.151851707513669,0.2,2976,2.17,2.71,2.98,2.69207325268817,0.15775559016681,0.21,2976,6.9,7.1,7.3,7.07204301075269,0.080490050524813,0.0999999999999996,2976,7,12,25,12.8766801075269,2.64973387593257,4,2976,0,2976,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
